Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
country:United Kingdom,K02000001,19694,20445,21104,20907,21679
country:Great Britain,K03000001,19802,20562,21222,21021,21797
country:England,E92000001,20179,20971,21644,21414,22213
country:Wales,W92000004,16018,16624,17037,17200,18038
country:Scotland,S92000003,18110,18628,19291,19173,19630
country:Northern Ireland,N92000002,16012,16427,17045,16965,17636
country:England and Wales,K04000001,19958,20740,21400,21191,21996
gor:North East,E12000001,15933,16346,16866,16935,17663
gor:North West,E12000002,17164,17746,18371,18418,18864
gor:Yorkshire and The Humber,E12000003,16517,17134,17673,17669,18363
gor:East Midlands,E12000004,17187,17729,18345,18394,18956
gor:West Midlands,E12000005,16912,17476,17966,17929,18566
gor:East,E12000006,20595,21392,22062,21711,22337
gor:London,E12000007,27572,29015,29809,29202,31094
gor:South East,E12000008,22750,23558,24335,23911,24623
gor:South West,E12000009,19343,20101,20920,20579,21221
gor:Wales,W92000004,16018,16624,17037,17200,18038
gor:Scotland,S92000003,18110,18628,19291,19173,19630
gor:Northern Ireland,N92000002,16012,16427,17045,16965,17636
ladu:Darlington,E06000005,16609,16910,17392,18004,18376
ladu:County Durham,E06000047,15484,15903,16350,16362,17228
ladu:Hartlepool,E06000001,15154,15870,15912,16153,16934
ladu:Middlesbrough,E06000002,14747,15318,15783,16005,16222
ladu:Northumberland,E06000057,18778,19191,19721,19586,20380
ladu:Redcar and Cleveland,E06000003,15619,16111,16501,16549,17128
ladu:Stockton-on-Tees,E06000004,16180,16399,17235,17382,17935
ladu:Gateshead,E08000037,14857,15527,16095,16078,16833
ladu:Newcastle upon Tyne,E08000021,15411,15848,16572,16286,17431
ladu:North Tyneside,E08000022,16550,17104,17798,18382,18717
ladu:South Tyneside,E08000023,15521,15647,15890,16123,16910
ladu:Sunderland,E08000024,15204,15402,15840,15831,16538
ladu:Blackburn with Darwen,E06000008,13102,13719,14417,14948,15025
ladu:Blackpool,E06000009,15630,15976,16571,16713,16717
ladu:Cheshire East,E06000049,22725,23946,24824,24503,24684
ladu:Cheshire West and Chester,E06000050,20382,21114,21741,21509,21340
ladu:Halton,E06000006,16501,17220,17493,17759,18216
ladu:Warrington,E06000007,19057,19927,20699,20633,20952
ladu:Allerdale,E07000026,17857,18345,18658,18493,19246
ladu:Barrow-in-Furness,E07000027,16662,17092,17805,18304,18735
ladu:Carlisle,E07000028,16471,16992,17330,17721,17724
ladu:Copeland,E07000029,17574,17519,18257,18618,19251
ladu:Eden,E07000030,19841,20586,21143,20719,20858
ladu:South Lakeland,E07000031,23036,23473,24435,23311,24312
ladu:Bolton,E08000001,15910,16332,16807,16835,16967
ladu:Bury,E08000002,17828,18463,18993,19167,19505
ladu:Manchester,E08000003,14452,15143,15681,16031,16894
ladu:Oldham,E08000004,14175,14960,15582,15641,15714
ladu:Rochdale,E08000005,14725,15027,15741,15891,16297
ladu:Salford,E08000006,17053,16896,17681,17815,18113
ladu:Stockport,E08000007,19802,20691,21496,21338,21949
ladu:Tameside,E08000008,15558,16010,16558,16646,16659
ladu:Trafford,E08000009,21281,22929,23692,23390,24360
ladu:Wigan,E08000010,15626,16102,16642,16800,17223
ladu:Burnley,E07000117,14296,14847,15457,15720,15168
ladu:Chorley,E07000118,17759,18041,18953,19167,19839
ladu:Fylde,E07000119,21087,21939,22492,21877,22514
ladu:Hyndburn,E07000120,14425,14729,15527,15521,15539
ladu:Lancaster,E07000121,15867,16286,16231,16477,17680
ladu:Pendle,E07000122,15560,15425,15945,15958,15841
ladu:Preston,E07000123,15370,15452,16225,16861,17097
ladu:Ribble Valley,E07000124,23887,24873,25241,23584,24734
ladu:Rossendale,E07000125,17021,17463,17512,17672,18326
ladu:South Ribble,E07000126,17220,17884,18676,19006,19423
ladu:West Lancashire,E07000127,18543,19431,20307,20269,20628
ladu:Wyre,E07000128,17742,18202,19407,19146,19979
ladu:Knowsley,E08000011,15558,15815,16820,17050,17262
ladu:Liverpool,E08000012,14868,15244,15600,15878,16976
ladu:Sefton,E08000014,17955,18290,18686,18943,19113
ladu:St. Helens,E08000013,15862,16432,17416,17400,17590
ladu:Wirral,E08000015,17492,18097,18747,18567,19359
ladu:East Riding of Yorkshire,E06000011,18441,19292,19846,19737,20430
"ladu:Kingston upon Hull, City of",E06000010,13751,14316,14761,15130,15038
ladu:North East Lincolnshire,E06000012,15730,16075,16722,17001,17667
ladu:North Lincolnshire,E06000013,15513,16218,16667,16637,17374
ladu:York,E06000014,18278,19157,19772,19474,20884
