Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
country:United Kingdom,K02000001,100,100,100,100,100
country:Great Britain,K03000001,100.5,100.6,100.6,100.5,100.5
country:England,E92000001,102.5,102.6,102.6,102.4,102.5
country:Wales,W92000004,81.3,81.3,80.7,82.3,83.2
country:Scotland,S92000003,92,91.1,91.4,91.7,90.6
country:Northern Ireland,N92000002,81.3,80.3,80.8,81.1,81.3
country:England and Wales,K04000001,101.3,101.4,101.4,101.4,101.5
gor:North East,E12000001,80.9,80,79.9,81,81.5
gor:North West,E12000002,87.2,86.8,87.1,88.1,87
gor:Yorkshire and The Humber,E12000003,83.9,83.8,83.7,84.5,84.7
gor:East Midlands,E12000004,87.3,86.7,86.9,88,87.4
gor:West Midlands,E12000005,85.9,85.5,85.1,85.8,85.6
gor:East,E12000006,104.6,104.6,104.5,103.8,103
gor:London,E12000007,140,141.9,141.3,139.7,143.4
gor:South East,E12000008,115.5,115.2,115.3,114.4,113.6
gor:South West,E12000009,98.2,98.3,99.1,98.4,97.9
gor:Wales,W92000004,81.3,81.3,80.7,82.3,83.2
gor:Scotland,S92000003,92,91.1,91.4,91.7,90.6
gor:Northern Ireland,N92000002,81.3,80.3,80.8,81.1,81.3
ladu:Darlington,E06000005,84.3,82.7,82.4,86.1,84.8
ladu:County Durham,E06000047,78.6,77.8,77.5,78.3,79.5
ladu:Hartlepool,E06000001,76.9,77.6,75.4,77.3,78.1
ladu:Middlesbrough,E06000002,74.9,74.9,74.8,76.6,74.8
ladu:Northumberland,E06000057,95.3,93.9,93.4,93.7,94
ladu:Redcar and Cleveland,E06000003,79.3,78.8,78.2,79.2,79
ladu:Stockton-on-Tees,E06000004,82.2,80.2,81.7,83.1,82.7
ladu:Gateshead,E08000037,75.4,75.9,76.3,76.9,77.6
ladu:Newcastle upon Tyne,E08000021,78.2,77.5,78.5,77.9,80.4
ladu:North Tyneside,E08000022,84,83.7,84.3,87.9,86.3
ladu:South Tyneside,E08000023,78.8,76.5,75.3,77.1,78
ladu:Sunderland,E08000024,77.2,75.3,75.1,75.7,76.3
ladu:Blackburn with Darwen,E06000008,66.5,67.1,68.3,71.5,69.3
ladu:Blackpool,E06000009,79.4,78.1,78.5,79.9,77.1
ladu:Cheshire East,E06000049,115.4,117.1,117.6,117.2,113.9
ladu:Cheshire West and Chester,E06000050,103.5,103.3,103,102.9,98.4
ladu:Halton,E06000006,83.8,84.2,82.9,84.9,84
ladu:Warrington,E06000007,96.8,97.5,98.1,98.7,96.6
ladu:Allerdale,E07000026,90.7,89.7,88.4,88.5,88.8
ladu:Barrow-in-Furness,E07000027,84.6,83.6,84.4,87.5,86.4
ladu:Carlisle,E07000028,83.6,83.1,82.1,84.8,81.8
ladu:Copeland,E07000029,89.2,85.7,86.5,89.1,88.8
ladu:Eden,E07000030,100.7,100.7,100.2,99.1,96.2
ladu:South Lakeland,E07000031,117,114.8,115.8,111.5,112.1
ladu:Bolton,E08000001,80.8,79.9,79.6,80.5,78.3
ladu:Bury,E08000002,90.5,90.3,90,91.7,90
ladu:Manchester,E08000003,73.4,74.1,74.3,76.7,77.9
ladu:Oldham,E08000004,72,73.2,73.8,74.8,72.5
ladu:Rochdale,E08000005,74.8,73.5,74.6,76,75.2
ladu:Salford,E08000006,86.6,82.6,83.8,85.2,83.6
ladu:Stockport,E08000007,100.5,101.2,101.9,102.1,101.2
ladu:Tameside,E08000008,79,78.3,78.5,79.6,76.8
ladu:Trafford,E08000009,108.1,112.2,112.3,111.9,112.4
ladu:Wigan,E08000010,79.3,78.8,78.9,80.4,79.4
ladu:Burnley,E07000117,72.6,72.6,73.2,75.2,70
ladu:Chorley,E07000118,90.2,88.2,89.8,91.7,91.5
ladu:Fylde,E07000119,107.1,107.3,106.6,104.6,103.9
ladu:Hyndburn,E07000120,73.2,72,73.6,74.2,71.7
ladu:Lancaster,E07000121,80.6,79.7,76.9,78.8,81.6
ladu:Pendle,E07000122,79,75.4,75.6,76.3,73.1
ladu:Preston,E07000123,78,75.6,76.9,80.6,78.9
ladu:Ribble Valley,E07000124,121.3,121.7,119.6,112.8,114.1
ladu:Rossendale,E07000125,86.4,85.4,83,84.5,84.5
ladu:South Ribble,E07000126,87.4,87.5,88.5,90.9,89.6
ladu:West Lancashire,E07000127,94.2,95,96.2,96.9,95.2
ladu:Wyre,E07000128,90.1,89,92,91.6,92.2
ladu:Knowsley,E08000011,79,77.4,79.7,81.6,79.6
ladu:Liverpool,E08000012,75.5,74.6,73.9,75.9,78.3
ladu:Sefton,E08000014,91.2,89.5,88.5,90.6,88.2
ladu:St. Helens,E08000013,80.5,80.4,82.5,83.2,81.1
ladu:Wirral,E08000015,88.8,88.5,88.8,88.8,89.3
ladu:East Riding of Yorkshire,E06000011,93.6,94.4,94,94.4,94.2
"ladu:Kingston upon Hull, City of",E06000010,69.8,70,69.9,72.4,69.4
ladu:North East Lincolnshire,E06000012,79.9,78.6,79.2,81.3,81.5
ladu:North Lincolnshire,E06000013,78.8,79.3,79,79.6,80.1
ladu:York,E06000014,92.8,93.7,93.7,93.1,96.3
ladu:Craven,E07000163,99.8,97.8,98.1,100.5,99.6
ladu:Hambleton,E07000164,107,108.4,107.5,108.4,109.5
ladu:Harrogate,E07000165,125.9,128,128.3,122.2,121.9
ladu:Richmondshire,E07000166,90.8,94.2,91.2,90.3,97.2
ladu:Ryedale,E07000167,103.5,100,100,99.7,100
ladu:Scarborough,E07000168,88.9,88.5,87.4,89.4,88.6
ladu:Selby,E07000169,94,95.3,97.3,97.4,96.5
ladu:Barnsley,E08000016,78.5,78.5,80,82,82.1
ladu:Doncaster,E08000017,80.9,80.6,78.4,80,80.2
ladu:Rotherham,E08000018,80.7,78.8,78.9,80,79.3
ladu:Sheffield,E08000019,75.8,75.8,75.1,75.4,79.5
ladu:Bradford,E08000032,73.6,72.4,72.5,73.9,72.4
ladu:Calderdale,E08000033,85.8,84.7,84.4,84.2,84.6
ladu:Kirklees,E08000034,79.1,79.6,80.2,80.7,81.5
ladu:Leeds,E08000035,87.2,87.8,88.5,89.3,87.9
ladu:Wakefield,E08000036,83,81.9,81.1,83.2,83.1
ladu:Derby,E06000015,78,78.2,78.8,79.8,77.2
ladu:Leicester,E06000016,66.7,65.6,65.9,69.4,67.4
ladu:Nottingham,E06000018,65,64.2,64.8,66,69.3
ladu:Rutland,E06000017,112.9,116.7,119.8,115.9,113
ladu:Amber Valley,E07000032,89.2,88.1,88.2,90.4,92
ladu:Bolsover,E07000033,73.1,72.1,72.5,76.9,77.3
ladu:Chesterfield,E07000034,76.8,76.4,79.3,82.2,82.1
ladu:Derbyshire Dales,E07000035,121.2,122,119.6,112.4,115
ladu:Erewash,E07000036,82.7,83.1,83,84.7,85.4
ladu:High Peak,E07000037,96.1,92.5,91.7,93.3,94.8
ladu:North East Derbyshire,E07000038,88.2,89.8,88.7,90,90.3
ladu:South Derbyshire,E07000039,92.1,91.7,92.1,92.4,94.1
ladu:Blaby,E07000129,86.3,85.7,87,89.4,87.4
ladu:Charnwood,E07000130,85.5,83.9,86.4,84.4,86.9
ladu:Harborough,E07000131,121.2,117.2,117.1,114.1,112.1
ladu:Hinckley and Bosworth,E07000132,93,93.1,90.9,93.2,92.5
ladu:Melton,E07000133,101,101.9,100.2,101.4,100.8
ladu:North West Leicestershire,E07000134,92.1,89.4,90.5,94.6,94
ladu:Oadby and Wigston,E07000135,86.1,85.7,87.9,89.5,89
ladu:Boston,E07000136,82.8,80.3,81.9,80.2,79.9
ladu:East Lindsey,E07000137,85.3,85.7,85.9,85.6,85.6
ladu:Lincoln,E07000138,73.9,74,74.2,76,72.4
ladu:North Kesteven,E07000139,90.8,90.1,89.5,90.6,89.4
ladu:South Holland,E07000140,85.9,84,81.9,82.8,83.7
ladu:South Kesteven,E07000141,97.1,99.5,101.4,101.4,100.9
ladu:West Lindsey,E07000142,91.7,89.1,89.4,92.1,93
ladu:Ashfield,E07000170,74.7,74.8,74.9,76.3,76.6
ladu:Bassetlaw,E07000171,86.4,86.3,86.9,87.7,87.3
ladu:Broxtowe,E07000172,86.1,84.2,83.6,86.3,88.7
